id,NAME,Percent Below Poverty Line,Percent Completed High School,Percent Black,Percent Asian,Percent Hispanic/Latino,Percent White
1,Alameda,12.5,86.9,12.6,26.1,22.5,34.1
2,Alpine,17.5,89.5,0,0.6,7.1,72.5
3,Amador,12.8,88.4,2.5,1.1,12.5,79.6
4,Butte,21.9,88,1.6,4.1,14.1,75.2
5,Calaveras,12.6,91.6,0.8,1.3,10.3,83.5
6,Colusa,15,68.2,0.9,1.3,55.1,39.8
7,Contra Costa,10.9,88.9,9.3,14.4,24.4,47.8
8,Del Norte,21.8,80,3.5,3.4,17.8,64.7
9,El Dorado,10.4,92.3,0.8,3.5,12.1,79.9
10,Fresno,26.8,73.5,5.3,9.6,50.3,32.7
11,Glenn,20.8,75,0.8,2.6,37.5,55.9
12,Humboldt,21.4,89.8,1.1,2.2,9.8,77.2
13,Imperial,24,66.3,3.3,1.6,80.4,13.7
14,Inyo,11.4,87.6,0.6,1.3,19.4,66.3
15,Kern,23.5,73.4,5.8,4.2,49.2,38.6
16,Kings,22.6,72.2,7.2,3.7,50.9,35.2
17,Lake,24.7,84.4,1.9,1.1,17.1,74.1
18,Lassen,16.4,79.9,8.1,1,17.5,66.7
19,Los Angeles,18.2,77.3,8.7,13.7,47.7,27.8
20,Madera,23.5,70.8,3.7,1.9,53.7,38
21,Marin,8.3,92.9,2.8,5.5,15.5,72.8
22,Mariposa,15.1,89.5,0.8,1.1,9.2,83.2
23,Mendocino,20.4,86.8,0.7,1.7,22.2,68.6
24,Merced,26.1,67.9,3.9,7.4,54.9,31.9
25,Modoc,18.8,86.8,0.8,0.8,13.9,79
26,Mono,4.9,84.9,0.3,1.4,26.5,68.2
27,Monterey,17,70.7,3.1,6.1,55.4,32.9
28,Napa,10.3,83.2,2,6.8,32.2,56.4
29,Nevada,12.7,93.9,0.4,1.2,8.5,86.5
30,Orange,12.8,84.3,1.7,17.9,33.7,44.1
31,Placer,8.9,94.1,1.4,5.9,12.8,76.1
32,Plumas,14.5,90.5,1,0.7,8,85
33,Riverside,16.8,80.1,6.4,6,45.5,39.7
34,Sacramento,18.2,86.6,10.4,14.3,21.6,48.4
35,San Benito,10.8,78,0.9,2.6,56.4,38.3
36,San Bernardino,19.5,78.6,8.9,6.3,49.2,33.3
37,San Diego,14.5,86,5.1,10.9,32,48.5
38,San Francisco,13.2,87,6.1,33.3,15.1,41.9
39,San Joaquin,18.6,78,7.6,14.4,38.9,35.9
40,San Luis Obispo,14.8,89.7,2.1,3.2,20.8,71.1
41,San Mateo,8,88.3,2.8,24.8,25.4,42.3
42,Santa Barbara,16.3,79.6,2,4.9,42.9,47.9
43,Santa Clara,9.5,87,2.6,32,26.9,35.2
44,Santa Cruz,15.1,85.6,1.1,4.2,32,59.6
45,Shasta,18,89.3,0.9,2.5,8.4,82.4
46,Sierra,14.6,92.6,0.2,0.4,8.3,88.1
47,Siskiyou,23.1,88.4,1.3,1.2,10.3,79.5
48,Solano,13.4,87.5,14.7,14.6,24,40.8
49,Sonoma,11.7,87.1,1.6,3.8,24.9,66.1
50,Stanislaus,20.3,77.2,2.9,5.1,41.9,46.7
51,Sutter,17.8,78.5,2,14.4,28.8,50.4
52,Tehama,19.8,82.3,0.6,1,21.9,71.9
53,Trinity,19.5,90.8,0.4,0.7,7,83.5
54,Tulare,28.1,68.4,1.6,3.4,60.6,32.6
55,Tuolumne,13.9,90.3,2.1,1,10.7,81.9
56,Ventura,11.1,83.1,1.8,6.7,40.3,48.7
57,Yolo,19.9,85.5,2.6,13,30.3,49.9
58,Yuba,21.9,80.8,3.3,6.7,25,58.8
